term_id,term_str,n,num,stop,p_stem,pos_max
0,,7269,0,0,,:
1,0,28,1,0,0,CD
2,00,13,1,0,00,CD
3,01,6,1,0,01,CD
4,011,1,1,0,011,CD
5,013,1,1,0,013,CD
6,02,4,1,0,02,CD
7,03,6,1,0,03,CD
8,031,1,1,0,031,CD
9,04,8,1,0,04,CD
10,05,6,1,0,05,CD
11,056,2,1,0,056,CD
12,06,3,1,0,06,CD
13,07,5,1,0,07,CD
14,08,4,1,0,08,CD
15,09,1,1,0,09,CD
16,0j,1,1,0,0j,CD
17,0u,1,1,0,0u,CD
18,1,514,1,0,1,CD
19,10,151,1,0,10,CD
20,100,42,1,0,100,CD
21,1000,8,1,0,1000,CD
22,10000,5,1,0,10000,CD
23,100000,7,1,0,100000,CD
24,1001,1,1,0,1001,CD
25,10088,1,1,0,10088,JJ
26,101,25,1,0,101,CD
27,1011,2,1,0,1011,JJ
28,102,24,1,0,102,CD
29,102000,1,1,0,102000,CD
30,103,23,1,0,103,CD
31,1036,1,1,0,1036,CD
32,104,15,1,0,104,CD
33,105,17,1,0,105,CD
34,106,15,1,0,106,CD
35,1067,1,1,0,1067,JJ
36,107,23,1,0,107,CD
37,108,18,1,0,108,CD
38,10823,1,1,0,10823,JJ
39,1083957,1,1,0,1083957,CD
40,109,19,1,0,109,CD
41,1094,1,1,0,1094,CD
42,10s,1,1,0,10,CD
43,10th,5,1,0,10th,CD
44,11,89,1,0,11,CD
45,110,15,1,0,110,CD
46,1104,1,1,0,1104,CD
47,11064413,1,1,0,11064413,CD
48,111,18,1,0,111,CD
49,11112,1,1,0,11112,JJ
50,111122,1,1,0,111122,JJ
51,1112,1,1,0,1112,JJ
52,112,13,1,0,112,CD
53,11213,1,1,0,11213,JJ
54,113,21,1,0,113,CD
55,114,15,1,0,114,CD
56,114370,1,1,0,114370,NNS
57,115,15,1,0,115,CD
58,1150,2,1,0,1150,CD
59,116,14,1,0,116,CD
60,11619,1,1,0,11619,JJ
61,117,17,1,0,117,CD
62,118,12,1,0,118,CD
63,119,16,1,0,119,CD
64,12,108,1,0,12,CD
65,120,17,1,0,120,CD
66,1200,2,1,0,1200,CD
67,12000,1,1,0,12000,CD
68,121,15,1,0,121,CD
69,1216,1,1,0,1216,CD
70,122,12,1,0,122,CD
71,1220,1,1,0,1220,CD
72,123,10,1,0,123,CD
73,12319,1,1,0,12319,CD
74,124,12,1,0,124,CD
75,1241,1,1,0,1241,CD
76,124125,1,1,0,124125,JJ
77,125,13,1,0,125,CD
78,1250000,1,1,0,1250000,CD
79,1253,1,1,0,1253,CD
80,1254,1,1,0,1254,CD
81,1255,1,1,0,1255,CD
82,1256,1,1,0,1256,JJ
83,126,9,1,0,126,CD
84,1269,1,1,0,1269,CD
85,127,12,1,0,127,CD
86,128,13,1,0,128,CD
87,129,13,1,0,129,CD
88,12954,1,1,0,12954,JJ
89,12q,1,1,0,12q,CD
90,12th,1,1,0,12th,CD
