text_id,title,author,file
1,NicomachaenEthics,Aristotle,philostexts\Aristotle_NicomachaenEthics-1.txt
4,OnDuties,Cicero,philostexts\Cicero_OnDuties-4.txt
5,TheOrderofThings,Foucault,philostexts\Foucault_TheOrderofThings-5.txt
6,PedagogyOfTheOppressed,Freire,philostexts\Freire_PedagogyOfTheOppressed-6.txt
7,TheOriginsofTotalitarianism,HannahArendt,philostexts\HannahArendt_TheOriginsofTotalitarianism-7.txt
8,EnfranchisementofWomen,HarrietTaylorMill,philostexts\HarrietTaylorMill_EnfranchisementofWomen-8.txt
9,Siddhartha,Hesse,philostexts\Hesse_Siddhartha-9.txt
10,AnEnquiryConcerningHumanUnderstanding,Hume,philostexts\Hume_AnEnquiryConcerningHumanUnderstanding-10.txt
11,MetaphysicsOfMorals,Kant,philostexts\Kant_MetaphysicsOfMorals-11.txt
12,CollectionOfWritings,Kierkegaard,philostexts\Kierkegaard_CollectionOfWritings-12.txt
21,TaoTeChing,Laozi,philostexts\Laozi_TaoTeChing-21.txt
13,CommunistManifesto,Marx,philostexts\Marx_CommunistManifesto-13.txt
14,AVindicationOfTheRightsofMen,MaryWollstonecraft,philostexts\MaryWollstonecraft_AVindicationOfTheRightsofMen-14.txt
15,AVindicationOfTheRightsofWoman,MaryWollstonecraft,philostexts\MaryWollstonecraft_AVindicationOfTheRightsofWoman-15.txt
16,BeyondGoodandEvil,Nietzsche,philostexts\Nietzsche_BeyondGoodandEvil-16.txt
17,TheRepublic,Plato,philostexts\Plato_TheRepublic-17.txt
18,TheSecondSex,Simonedebeauvoir,philostexts\Simonedebeauvoir_TheSecondSex-18.txt
19,Utilitarianism,StuartMill,philostexts\StuartMill_Utilitarianism-19.txt
2,AintIAWoman,bellhooks,philostexts\bellhooks_AintIAWoman-2.txt
3,FeministClassStruggle,bellhooks,philostexts\bellhooks_FeministClassStruggle-3.txt
