term_id,term_str,n,num,stop,p_stem,pos_max
0,,32337,0,0,,:
1,a,34591,0,1,a,DT
2,aa,4,0,0,aa,NNP
3,aarhus,1,0,0,aarhu,NNP
4,ab,105,0,0,ab,NN
5,aback,1,0,0,aback,NN
6,abandon,66,0,0,abandon,VB
7,abandoned,61,0,0,abandon,VBN
8,abandoning,9,0,0,abandon,VBG
9,abandonment,16,0,0,abandon,NN
10,abandonner,1,0,0,abandonn,NN
11,abandons,13,0,0,abandon,VBZ
12,abase,1,0,0,abas,VBP
13,abased,7,0,0,abas,VBD
14,abasement,16,0,0,abas,NN
15,abashed,2,0,0,abash,JJ
16,abasing,1,0,0,abas,IN
17,abate,3,0,0,abat,VB
18,abated,3,0,0,abat,VBN
19,abatement,1,0,0,abat,NN
20,abates,2,0,0,abat,NNS
21,abbe,13,0,0,abb,NNP
22,abbess,1,0,0,abbess,NN
23,abbesses,1,0,0,abbess,NNS
24,abbey,2,0,0,abbey,NN
25,abbot,1,0,0,abbot,NNP
26,abbreviated,1,0,0,abbrevi,VBD
27,abbreviation,2,0,0,abbrevi,NN
28,abby,2,0,0,abbi,NNP
29,abbé,3,0,0,abbé,NNP
30,abc,1,0,0,abc,NNP
31,abdera,1,0,0,abdera,NNP
32,abdicate,9,0,0,abdic,VB
33,abdicated,6,0,0,abdic,VBD
34,abdicates,1,0,0,abdic,NNS
35,abdicating,3,0,0,abdic,NN
36,abdication,19,0,0,abdic,NN
37,abdidit,1,0,0,abdidit,NN
38,abdieate,1,0,0,abdieat,VB
39,abdimus,1,0,0,abdimu,NN
40,abditum,1,0,0,abditum,JJ
41,abdomen,5,0,0,abdomen,NNS
42,abdominal,1,0,0,abdomin,JJ
43,abduci,1,0,0,abduci,NN
44,abducted,1,0,0,abduct,VBN
45,abduction,2,0,0,abduct,JJ
46,abelard,1,0,0,abelard,NNP
47,aberis,1,0,0,aberi,NN
48,aberit,1,0,0,aberit,NN
49,aberrabimus,1,0,0,aberrabimu,NN
50,aberrant,1,0,0,aberr,NNS
51,aberrare,1,0,0,aberrar,NN
52,aberration,2,0,0,aberr,NN
53,aberunt,1,0,0,aberunt,NN
54,abesset,1,0,0,abesset,NN
55,abest,3,0,0,abest,JJS
56,abets,1,0,0,abet,NNS
57,abetz,2,0,0,abetz,NNP
58,abeyance,1,0,0,abey,NN
59,abhandlungen,1,0,0,abhandlungen,NNP
60,abhor,1,0,0,abhor,NN
61,abhorrence,8,0,0,abhorr,NN
62,abhorrent,6,0,0,abhorr,JJ
63,abhorrentem,1,0,0,abhorrentem,NN
64,abhorret,1,0,0,abhorret,JJ
65,abhors,2,0,0,abhor,NNS
66,abiciat,1,0,0,abiciat,NN
67,abiciebantur,1,0,0,abiciebantur,VBP
68,abiciendam,1,0,0,abiciendam,NN
69,abiciunt,1,0,0,abiciunt,NN
70,abide,17,0,0,abid,VB
71,abides,10,0,0,abid,VBZ
72,abiding,12,0,0,abid,VBG
73,abiecta,1,0,0,abiecta,NN
74,abiectum,1,0,0,abiectum,NN
75,abilities,35,0,0,abil,NN
76,ability,105,0,0,abil,NN
77,abject,21,0,0,abject,JJ
78,abjection,9,0,0,abject,NN
79,abjectly,1,0,0,abjectli,RB
80,abjure,2,0,0,abjur,NN
81,abjures,1,0,0,abjur,VBZ
82,ablaze,1,0,0,ablaz,IN
83,able,755,0,0,abl,JJ
84,abled,1,0,0,abl,VBD
85,abler,2,0,0,abler,NN
